"","marker","chr","pos","trait","lod","threshold","iteration","var_exp","eff_size","ci_l_marker","ci_l_pos","ci_r_marker","ci_r_pos","probe_chr","probe_start","probe_stop"
"42","IV_787345","IV",787345,"A_12_P100443",6.20941270426383,3.77,1,0.158343642200696,-0.396670858820219,"IV_122764",122764,"IV_986168",986168,"IV",796076,796135
"43","III_11107793","III",11107793,"A_12_P100446",6.17048442691963,3.77,1,0.156608412924592,0.39449138691832,"III_11063857",11063857,"III_11297002",11297002,"III",11102376,11102435
"44","V_5019415","V",5019415,"A_12_P100452",3.98092204361302,3.77,1,0.101660743846403,0.3178385881213,"V_4445869",4445869,"V_5261629",5261629,"V",18042110,18042169
"45","X_5526747","X",5526747,"A_12_P100464",3.81110279536678,3.77,1,0.101494640270959,0.317578823601437,"X_3713398",3713398,"X_6076783",6076783,"V",2024586,2024645
"46","X_11328403","X",11328403,"A_12_P100487",14.4155944858974,3.77,1,0.341687573660582,0.582639531084415,"X_11270961",11270961,"X_11600428",11600428,"X",11308888,11308947
"47","V_3427441","V",3427441,"A_12_P100493",54.8879412564933,3.77,1,0.788101882942169,-0.887742556279061,"V_3427228",3427228,"V_3491728",3491728,"V",3367959,3368018
"48","IV_7641964","IV",7641964,"A_12_P100498",6.95743828433299,3.77,1,0.177993184456456,0.420563586709743,"IV_7124538",7124538,"IV_8963101",8963101,"X",7023702,7023761
"49","II_2611357","II",2611357,"A_12_P100514",18.1804330863591,3.77,1,0.379435631230584,-0.614031057759851,"II_2605505",2605505,"II_2707200",2707200,"II",2664514,2664573
"50","II_7337528","II",7337528,"A_12_P100515",4.30099893531239,3.77,1,0.127061446950241,0.355208256327434,"II_6419993",6419993,"II_7433744",7433744,"IV",4936562,4936621
"51","X_8465070","X",8465070,"A_12_P100522",3.98754104000088,3.77,1,0.110019805995717,0.330634303876962,"X_6996850",6996850,"X_10235123",10235123,"III",4820769,4820828
"52","II_7433744","II",7433744,"A_12_P100529",24.4433238649715,3.77,1,0.504923616929774,0.708341723109341,"II_7367480",7367480,"II_7692763",7692763,"II",7377047,7377106
"53","V_2819653","V",2819653,"A_12_P100536",18.7840868804375,3.77,1,0.417961401652993,-0.646489817135531,"V_2759587",2759587,"V_2935566",2935566,"V",2872725,2872784
"54","V_3685467","V",3685467,"A_12_P100545",7.08329494363874,3.77,1,0.195546173577631,-0.440719619657369,"V_3671227",3671227,"V_3897200",3897200,"V",3793645,3793704
"55","II_3331906","II",3331906,"A_12_P100557",4.9014224574513,3.77,1,0.139267987285171,0.371841443789003,"II_3223762",3223762,"II_3542182",3542182,"V",15648719,15648778
"56","IV_2116532","IV",2116532,"A_12_P100561",44.104822509635,3.77,1,0.734582889078687,-0.854272610894925,"IV_2088318",2088318,"IV_2135122",2135122,"IV",2111969,2112028
"57","I_8346637","I",8346637,"A_12_P100562",13.9131066755602,3.77,1,0.265957921724229,-0.514033969920776,"I_7969987",7969987,"I_8955681",8955681,"I",8584554,8584613
"58","V_17973702","V",17973702,"A_12_P100564",4.72981694634542,3.77,1,0.121818801682241,0.34792620725783,"V_17936259",17936259,"V_18174312",18174312,"V",18125035,18125094
"59","X_5361887","X",5361887,"A_12_P100566",7.5297185340646,3.77,1,0.188495165203435,0.432792861562856,"X_4753798",4753798,"X_5676445",5676445,"III",4476903,4476962
"60","IV_3777826","IV",3777826,"A_12_P100569",5.73797142868357,3.77,1,0.154145957678593,0.391361899387389,"IV_3584623",3584623,"IV_3857221",3857221,"IV",3687871,3687930
"61","III_1452343","III",1452343,"A_12_P100574",16.6721255704953,3.77,1,0.396291161247306,-0.627442413736025,"III_1395216",1395216,"III_1460260",1460260,"III",1319057,1319116
"62","IV_6062184","IV",6062184,"A_12_P100577",29.2886756582423,3.77,1,0.547223656602731,0.737415756805551,"IV_5838650",5838650,"IV_6109938",6109938,"IV",6073725,6073909
"63","II_13542748","II",13542748,"A_12_P100617",9.56588684720789,3.77,1,0.236008439462197,-0.484276893578724,"II_13533998",13533998,"II_13578819",13578819,"II",13547718,13547777
"64","IV_4761504","IV",4761504,"A_12_P100621",57.3636020980854,3.77,1,0.786773894950092,0.884209042851202,"IV_4757132",4757132,"IV_4844241",4844241,"IV",4757309,4757368
"65","IV_1562568","IV",1562568,"A_12_P100625",12.5249975686413,3.77,1,0.303275752572444,-0.548970270508501,"IV_1497020",1497020,"IV_1575852",1575852,"IV",1552826,1552885
"66","X_4536045","X",4536045,"A_12_P100627",8.39933265137888,3.77,1,0.229018038706936,0.476893736235191,"X_3946591",3946591,"X_4566632",4566632,"V",16867133,16867192
"67","II_7399295","II",7399295,"A_12_P100628",7.727558550958,3.77,1,0.199197102079228,0.444909305495475,"II_6419993",6419993,"II_8864770",8864770,"II",6799397,6799456
"68","I_12719079","I",12719079,"A_12_P100630",39.1623611178439,3.77,1,0.447484151454701,-0.666384455026985,"I_12690450",12690450,"I_12732062",12732062,"I",12712260,12712319
"69","III_8659106","III",8659106,"A_12_P100652",4.13781150491332,3.77,1,0.112580054699673,-0.334472725406997,"III_6268573",6268573,"III_9210994",9210994,"III",8756851,8756910
"70","V_1038256","V",1038256,"A_12_P100655",11.7375749125647,3.77,1,0.281075780021914,-0.528495986569925,"V_1005065",1005065,"V_1113279",1113279,"V",1139042,1139098
"71","V_15572136","V",15572136,"A_12_P100658",54.2708636426798,3.77,1,0.762223390338076,-0.870304275835301,"V_15540993",15540993,"V_15619566",15619566,"V",15572560,15572619
"72","X_16021441","X",16021441,"A_12_P100674",4.67006827027576,3.77,1,0.128251837596024,-0.356972982775933,"X_15803787",15803787,"X_17709225",17709225,"X",16892691,16892794
"73","V_16307111","V",16307111,"A_12_P100681",14.2119553497852,3.77,1,0.360834836236294,0.598482780797432,"V_16188475",16188475,"V_16436223",16436223,"V",16144559,16144618
"74","X_5341098","X",5341098,"A_12_P100682",7.70193539227437,3.77,1,0.192343717821481,0.437188756607903,"X_4630882",4630882,"X_5676445",5676445,"X",7839059,7839118
"75","II_4678773","II",4678773,"A_12_P100688",4.25826370736038,3.77,1,0.114704792630276,0.337614245611983,"II_4119401",4119401,"II_5061727",5061727,"II",3813169,3813228
"76","X_5526747","X",5526747,"A_12_P100704",4.7387899396669,3.77,1,0.124550582679737,0.351805693077515,"X_4630882",4630882,"X_5810100",5810100,"X",9385768,9385827
"77","II_12607036","II",12607036,"A_12_P100714",54.7007568180987,3.77,1,0.775260126226649,-0.877715373213986,"II_12603370",12603370,"II_12610701",12610701,"II",12620459,12620518
"78","X_4501238","X",4501238,"A_12_P100722",6.54087209853003,3.77,1,0.165148042878584,0.405104154437153,"X_3946591",3946591,"X_4656473",4656473,"IV",4605247,4605306
"79","X_6953360","X",6953360,"A_12_P100753",4.73148517410318,3.77,1,0.127816076497343,0.35638771275451,"X_6300921",6300921,"X_7838301",7838301,"II",6765622,6765681
"80","II_733570","II",733570,"A_12_P100764",3.89966827020752,3.77,1,0.0910825834487936,-0.300848362156102,"II_6368",6368,"II_1324489",1324489,"II",406539,406649
"81","IV_6109938","IV",6109938,"A_12_P100765",13.3086535824459,3.77,1,0.309223694342723,-0.554327422408137,"IV_5646749",5646749,"IV_6488811",6488811,"IV",6221767,6221826
"82","IV_16529740","IV",16529740,"A_12_P100777",73.0221422522319,3.77,1,0.826456704725235,-0.906233338503397,"IV_16527967",16527967,"IV_17490756",17490756,"IV",17254636,17254695
"83","II_7399295","II",7399295,"A_12_P100798",4.12801161162711,3.77,1,0.111936785195793,0.333515787118773,"II_6575108",6575108,"II_8102088",8102088,"II",7348977,7349036
"84","V_18117245","V",18117245,"A_12_P100808",50.7782592943345,3.77,1,0.751195279177636,-0.863985405297136,"V_18112934",18112934,"V_18145937",18145937,"V",18129290,18129349
"85","X_4862702","X",4862702,"A_12_P100809",64.1336851633175,3.77,1,0.807588175814064,-0.895828669387732,"X_4785093",4785093,"X_4893004",4893004,"X",4866714,4866773
"86","IV_6062184","IV",6062184,"A_12_P100816",4.57166818012622,3.77,1,0.118676675786376,0.343409786696653,"IV_4785460",4785460,"IV_7396833",7396833,"IV",6373221,6373280
"87","II_11654614","II",11654614,"A_12_P100817",9.00213473817449,3.77,1,0.230259160726079,0.478312806085112,"II_11434074",11434074,"II_12073118",12073118,"II",11883323,11883382
"88","V_7738803","V",7738803,"A_12_P100818",17.5893485059714,3.77,1,0.369977168806475,0.606341709247953,"V_7626098",7626098,"V_7970924",7970924,"V",7835387,7835446
"89","V_16859250","V",16859250,"A_12_P100824",44.300991001726,3.77,1,0.706982819286027,-0.837938226367986,"V_16858940",16858940,"V_16994282",16994282,"V",16915175,16915234
"90","V_3685467","V",3685467,"A_12_P100825",67.3908778336181,3.77,1,0.857530389893634,0.923094243489072,"V_3682670",3682670,"V_3778723",3778723,"V",3779117,3779176
"91","IV_15143459","IV",15143459,"A_12_P100828",6.54610829378018,3.77,1,0.175668651758241,-0.417710068598452,"IV_15084637",15084637,"IV_15380612",15380612,"X",17710433,17710492
"92","X_5341098","X",5341098,"A_12_P100840",4.31763564713197,3.77,1,0.113081582841104,0.335216911741598,"X_4165450",4165450,"X_5922452",5922452,"I",6440830,6440889
"93","IV_4576321","IV",4576321,"A_12_P100848",3.86290860065178,3.77,1,0.101291263277598,-0.317260478640657,"IV_4281922",4281922,"IV_5163110",5163110,"III",2782683,2782742
"94","V_16598569","V",16598569,"A_12_P100858",43.2200413568615,3.77,1,0.682824297634414,0.823695998707304,"V_16597288",16597288,"V_16625100",16625100,"V",16504015,16504074
"95","V_13010814","V",13010814,"A_12_P100862",5.75616658503835,3.77,1,0.14976517172435,0.385776168788754,"V_12805611",12805611,"V_13228106",13228106,"V",15086742,15086801
"96","II_1223891","II",1223891,"A_12_P100880",10.8901577266183,3.77,1,0.219570030988743,-0.467107147662738,"II_1041078",1041078,"II_1618934",1618934,"II",1097496,1097555
"97","V_12931140","V",12931140,"A_12_P100883",5.14728191429873,3.77,1,0.137128955930865,0.369128057847871,"V_12486434",12486434,"V_13158595",13158595,"IV",15219666,15219725
"98","V_2285994","V",2285994,"A_12_P100887",20.0811380918591,3.77,1,0.438058035862206,-0.659774926680039,"V_2273283",2273283,"V_2486879",2486879,"II",3742605,3742664
"99","IV_16167824","IV",16167824,"A_12_P100910",4.54039911082982,3.77,1,0.11335489624055,-0.335621769801697,"IV_15954820",15954820,"IV_16379127",16379127,"IV",16201187,16201246
"100","IV_15573322","IV",15573322,"A_12_P100936",11.8584918777185,3.77,1,0.284606572858911,-0.531805034212029,"IV_15467845",15467845,"IV_15712992",15712992,"II",8389591,8389650
"101","V_17733401","V",17733401,"A_12_P100938",4.14989299955256,3.77,1,0.107119502787637,0.326260318186161,"V_17538727",17538727,"V_17814400",17814400,"V",15419237,15419296
"102","X_5526747","X",5526747,"A_12_P100963",6.52394319701855,3.77,1,0.168476628315544,0.409158063028697,"X_4483054",4483054,"X_6076783",6076783,"IV",17357773,17357832
"103","V_19727537","V",19727537,"A_12_P100964",21.7334990741635,3.77,1,0.459431783779319,0.675651882765958,"V_19703185",19703185,"V_19785151",19785151,"V",19758378,19758437
"104","II_14204646","II",14204646,"A_12_P100985",3.94843949169052,3.77,1,0.10087777177081,0.316612255568266,"II_14136063",14136063,"II_14391450",14391450,"II",14816089,14816148
"105","X_5576572","X",5576572,"A_12_P101000",6.95726169268196,3.77,1,0.177238341374787,0.419670864875393,"X_4674201",4674201,"X_5676445",5676445,"X",7029513,7029572
"106","X_2241158","X",2241158,"A_12_P101006",4.6969542459835,3.77,1,0.122694877344977,0.349168050497699,"X_1142327",1142327,"X_2536346",2536346,"X",2243617,2243728
"107","I_13853980","I",13853980,"A_12_P101008",10.3641858113925,3.77,1,0.25733818324206,-0.505677229627074,"I_13788926",13788926,"I_13979708",13979708,"I",13842240,13842349
"108","II_4636342","II",4636342,"A_12_P101012",3.83656920718232,3.77,1,0.117013237075604,0.340848101416672,"II_4209585",4209585,"II_4905764",4905764,"X",7512842,7512900
"109","X_5576572","X",5576572,"A_12_P101017",4.31500238502866,3.77,1,0.114094957123045,0.336715575488214,"X_4630882",4630882,"X_5810100",5810100,"V",10261181,10261240
"110","IV_15399516","IV",15399516,"A_12_P101022",8.19828167869417,3.77,1,0.208345180188859,-0.455010805524051,"IV_15114347",15114347,"IV_15410121",15410121,"IV",15210139,15210198
"111","V_9905233","V",9905233,"A_12_P101037",5.54942914962203,3.77,1,0.142833969685931,-0.376743470855914,"V_7667064",7667064,"V_13332418",13332418,"V",11412923,11412982
"112","X_5361887","X",5361887,"A_12_P101041",9.51895892330337,3.77,1,0.231800443165066,0.479940182463027,"X_4785093",4785093,"X_5676445",5676445,"III",3933607,3933666
"113","V_11513193","V",11513193,"A_12_P101050",14.9459239841448,3.77,1,0.336228837286301,0.578026115768929,"V_11050301",11050301,"V_11600826",11600826,"V",9793109,9793168
"114","V_2064625","V",2064625,"A_12_P101052",11.144551416336,3.77,1,0.275334600732896,0.523070680288375,"V_1973596",1973596,"V_2272126",2272126,"V",2106500,2106559
"115","IV_15712992","IV",15712992,"A_12_P101054",5.53652900102297,3.77,1,0.14604416329408,-0.380953601562976,"IV_15625988",15625988,"IV_15983752",15983752,"V",8265802,8265861
"116","X_9642366","X",9642366,"A_12_P101069",4.26483398841849,3.77,1,0.114540136082891,0.337371839175313,"X_8382557",8382557,"X_10545442",10545442,"X",10015053,10015112
"117","III_7349335","III",7349335,"A_12_P101071",25.5224876467143,3.77,1,0.543632372488448,-0.73483592255399,"III_7137768",7137768,"III_8304308",8304308,"III",7816241,7816300
"118","X_5526747","X",5526747,"A_12_P101084",6.36996478330966,3.77,1,0.163618090607687,-0.403223320273853,"X_4639456",4639456,"X_5810100",5810100,"V",3684814,3684873
"119","IV_15961314","IV",15961314,"A_12_P101085",16.860221368712,3.77,1,0.373496273323402,-0.60921854876378,"IV_15683717",15683717,"IV_15983752",15983752,"V",8271912,8271971
"120","X_3843271","X",3843271,"A_12_P101100",4.02994053915479,3.77,1,0.10744260606321,-0.326751995253947,"X_3789476",3789476,"X_4505845",4505845,"IV",13233113,13233172
"121","V_16859250","V",16859250,"A_12_P101111",5.38830316997414,3.77,1,0.14389914383192,-0.378106775669304,"V_16620392",16620392,"V_16999614",16999614,"V",16852263,16852322
"122","X_5291269","X",5291269,"A_12_P101112",3.99347693210732,3.77,1,0.104520894749493,-0.322278653701376,"X_4284268",4284268,"X_5569019",5569019,"III",900502,900561
"123","X_6953360","X",6953360,"A_12_P101116",6.56366659840325,3.77,1,0.18794332012834,0.43202680391368,"X_6300921",6300921,"X_7726527",7726527,"I",2546034,2546093
"124","III_11847455","III",11847455,"A_12_P101126",37.282827871536,3.77,1,0.650918996979886,-0.80425441671787,"III_11843946",11843946,"III_11859506",11859506,"III",11850403,11850462
"125","I_12098639","I",12098639,"A_12_P101132",9.95576374703446,3.77,1,0.191753559964323,-0.436517540004801,"I_12048245",12048245,"I_12147931",12147931,"I",12091684,12091743
"126","II_9651692","II",9651692,"A_12_P101140",4.86858774656767,3.77,1,0.130640646201525,-0.360304047877953,"II_9115410",9115410,"II_9845678",9845678,"II",9330903,9330962
"127","I_12957859","I",12957859,"A_12_P101149",37.0795307545301,3.77,1,0.580217707855615,-0.761403012094433,"I_12955937",12955937,"I_12958276",12958276,"I",12945028,12945087
"128","X_4958735","X",4958735,"A_12_P101174",4.72876850200617,3.77,1,0.122482162607505,-0.348872232401478,"X_4483054",4483054,"X_6159202",6159202,"V",20847944,20848003
"129","II_9186","II",9186,"A_12_P101179",47.232363437903,3.77,1,0.642752088601348,0.799193107224594,"II_6368",6368,"II_343260",343260,"II",30153,30212
"130","IV_10776966","IV",10776966,"A_12_P101202",37.3445502446532,3.77,1,0.616400475885629,-0.782623285528172,"IV_10743150",10743150,"IV_11570976",11570976,"IV",11108643,11108702
"131","V_4385285","V",4385285,"A_12_P101207",6.41347131825843,3.77,1,0.163079342814441,0.402558923103594,"V_4165560",4165560,"V_4497523",4497523,"V",17536946,17537005
"132","IV_2135122","IV",2135122,"A_12_P101222",5.38440484262218,3.77,1,0.144255509851397,0.378613579383837,"IV_2060632",2060632,"IV_2185390",2185390,"IV",2148028,2148087
"133","III_9692506","III",9692506,"A_12_P101231",5.64180730838505,3.77,1,0.150270283740248,0.38642617356501,"III_9143646",9143646,"III_10418745",10418745,"III",9924486,9924545
"134","V_6236729","V",6236729,"A_12_P101235",31.5925656275814,3.77,1,0.551474543905652,0.74027437517974,"V_5790711",5790711,"V_6526389",6526389,"V",6427937,6427996
"135","II_4797215","II",4797215,"A_12_P101246",5.39004403722442,3.77,1,0.144800498200089,-0.379320496876614,"II_4645641",4645641,"II_5465868",5465868,"X",12880164,12880223
"136","III_11859506","III",11859506,"A_12_P101250",4.06670633416394,3.77,1,0.109174940553155,-0.329375630104762,"III_11411166",11411166,"III_12216028",12216028,"III",11500373,11500417
"137","V_18273719","V",18273719,"A_12_P101267",25.2674355819763,3.77,1,0.507370913917636,-0.709983307968219,"V_18247185",18247185,"V_18326576",18326576,"V",18205890,18205949
"138","II_5911690","II",5911690,"A_12_P101271",5.71871139545333,3.77,1,0.151284285835348,0.387727755441273,"II_5463446",5463446,"II_7692763",7692763,"II",7366479,7366538
"139","V_20574869","V",20574869,"A_12_P101275",5.40063378990446,3.77,1,0.136959245035878,0.368914442840452,"V_20128871",20128871,"V_20921615",20921615,"V",20842148,20842378
"140","V_19398565","V",19398565,"A_12_P101291",19.2393012038736,3.77,1,0.427192067569257,0.651540731655303,"V_19398038",19398038,"V_19399167",19399167,"V",19332736,19332795
"141","X_5576572","X",5576572,"A_12_P101305",4.06333013358201,3.77,1,0.107824725739789,0.32733252635601,"X_4630882",4630882,"X_5922452",5922452,"IV",8855356,8855415
"142","IV_1575852","IV",1575852,"A_12_P101321",4.05629244506939,3.77,1,0.110735430991392,-0.331721241014008,"IV_1500428",1500428,"IV_1837056",1837056,"IV",1617461,1617520
"143","V_3551664","V",3551664,"A_12_P101325",5.25308169628728,3.77,1,0.141497282201269,-0.374961365512153,"V_3165894",3165894,"V_3844800",3844800,"V",3524490,3524549
"144","V_11637718","V",11637718,"A_12_P101333",5.24253993743461,3.77,1,0.134807176435695,0.366004552647561,"V_10332855",10332855,"V_13155451",13155451,"V",11489191,11489250
"145","IV_4761504","IV",4761504,"A_12_P101339",5.10529630773996,3.77,1,0.133490062713314,0.364212166972032,"IV_4208432",4208432,"IV_6109938",6109938,"V",7158987,7159046
"146","X_4179483","X",4179483,"A_12_P101343",4.29804156832745,3.77,1,0.115007242798095,-0.338059058162408,"X_3713398",3713398,"X_5341098",5341098,"I",10732640,10732699
"147","X_4721441","X",4721441,"A_12_P101356",4.80851173092329,3.77,1,0.125065429948672,-0.352532062254695,"X_4536045",4536045,"X_5576572",5576572,"X",5651995,5652054
"148","IV_4037719","IV",4037719,"A_12_P101358",52.7452865148708,3.77,1,0.756915192684535,-0.867268539596917,"IV_3988400",3988400,"IV_4250670",4250670,"IV",4166071,4166130
"149","I_9554938","I",9554938,"A_12_P101375",5.68509306310871,3.77,1,0.145420618922241,-0.379935981009248,"I_7969987",7969987,"I_10093210",10093210,"I",8159662,8159721
"150","V_13010814","V",13010814,"A_12_P101389",5.599864417233,3.77,1,0.146019577502143,0.380921534412913,"V_12298716",12298716,"V_14362950",14362950,"V",14952533,14952592
"151","III_3326662","III",3326662,"A_12_P101402",7.0133491620149,3.77,1,0.181202880209366,-0.424338590577539,"III_3303150",3303150,"III_3437658",3437658,"III",3318803,3318862
"152","V_17846159","V",17846159,"A_12_P101407",11.963920991539,3.77,1,0.273379334636338,-0.52121009943384,"V_17814540",17814540,"V_17853669",17853669,"X",17706821,17706880
"153","V_5237566","V",5237566,"A_12_P101408",21.1052895288702,3.77,1,0.458585081425591,0.674957831505753,"V_5235073",5235073,"V_5281983",5281983,"V",5243926,5244277
"154","III_13111797","III",13111797,"A_12_P101422",12.7532139343981,3.77,1,0.309652281599294,0.554700330838382,"III_12640270",12640270,"III_13191926",13191926,"V",18962316,18962375
"155","V_5045041","V",5045041,"A_12_P101426",4.07245267574388,3.77,1,0.104567232081597,0.322350083812481,"V_4613377",4613377,"V_5237566",5237566,"I",11052303,11052362
"156","IV_776733","IV",776733,"A_12_P101431",8.96278947311124,3.77,1,0.222680204808199,0.470394341402336,"IV_122764",122764,"IV_872114",872114,"IV",808690,808749
"157","II_9430890","II",9430890,"A_12_P101433",4.61539278831857,3.77,1,0.124013911032909,0.351046933227311,"II_9115410",9115410,"II_9842467",9842467,"II",9380030,9380089
