"","date","experiment","round","assay","condition","dose","control","plate","row","col","strain","trait","phenotype"
"24","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"A","4","N2","median.norm.EXT",2.20359671121552
"25","20140310","dose",6,NA,"cisplatin","500","water",3,"A","4","N2","median.TOF",190
"26","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"A","4","N2","median.TOF",211
"27","20140310","dose",6,NA,"cisplatin","500","water",3,"A","4","N2","norm.n",86.3333333333333
"28","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"A","4","N2","norm.n",45.3333333333333
"29","20140310","dose",6,NA,"cisplatin","1000","water",3,"A","5","N2","median.EXT",267
"30","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"A","5","N2","median.EXT",371.5
"31","20140310","dose",6,NA,"cisplatin","1000","water",3,"A","5","N2","median.norm.EXT",1.77623385608856
"32","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"A","5","N2","median.norm.EXT",2.50324675324675
"33","20140310","dose",6,NA,"cisplatin","1000","water",3,"A","5","N2","median.TOF",116
"34","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"A","5","N2","median.TOF",124
"35","20140310","dose",6,NA,"cisplatin","1000","water",3,"A","5","N2","norm.n",16
"36","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"A","5","N2","norm.n",24.6666666666667
"37","20140310","dose",6,NA,"cisplatin","0","water",3,"A","7","CB4856","median.EXT",604.5
"38","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"A","7","CB4856","median.EXT",472.5
"39","20140310","dose",6,NA,"cisplatin","0","water",3,"A","7","CB4856","median.norm.EXT",2.12931926751592
"40","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"A","7","CB4856","median.norm.EXT",1.94544500786851
"41","20140310","dose",6,NA,"cisplatin","0","water",3,"A","7","CB4856","median.TOF",242
"42","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"A","7","CB4856","median.TOF",234
"43","20140310","dose",6,NA,"cisplatin","0","water",3,"A","7","CB4856","norm.n",216
"44","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"A","7","CB4856","norm.n",132
"45","20140310","dose",6,NA,"cisplatin","125","water",3,"A","8","CB4856","median.EXT",645
"46","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"A","8","CB4856","median.EXT",458
"47","20140310","dose",6,NA,"cisplatin","125","water",3,"A","8","CB4856","median.norm.EXT",2.31401645537738
"48","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"A","8","CB4856","median.norm.EXT",1.91696750902527
"49","20140310","dose",6,NA,"cisplatin","125","water",3,"A","8","CB4856","median.TOF",267.5
"50","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"A","8","CB4856","median.TOF",242
"51","20140310","dose",6,NA,"cisplatin","125","water",3,"A","8","CB4856","norm.n",196
"52","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"A","8","CB4856","norm.n",159
"53","20140310","dose",6,NA,"cisplatin","250","water",3,"A","9","CB4856","median.EXT",669.5
"54","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"A","9","CB4856","median.EXT",505.5
"55","20140310","dose",6,NA,"cisplatin","250","water",3,"A","9","CB4856","median.norm.EXT",2.58751133566524
"56","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"A","9","CB4856","median.norm.EXT",2.08009906596723
"57","20140310","dose",6,NA,"cisplatin","250","water",3,"A","9","CB4856","median.TOF",259.5
"58","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"A","9","CB4856","median.TOF",249
"59","20140310","dose",6,NA,"cisplatin","250","water",3,"A","9","CB4856","norm.n",140.666666666667
"60","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"A","9","CB4856","norm.n",122.666666666667
"61","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"A","10","CB4856","median.EXT",397.5
"62","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"A","10","CB4856","median.norm.EXT",1.91819468571061
"63","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"A","10","CB4856","median.TOF",208
"64","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"A","10","CB4856","norm.n",107.333333333333
"65","20140310","dose",6,NA,"cisplatin","1000","water",3,"A","11","CB4856","median.EXT",265.5
"66","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"A","11","CB4856","median.EXT",351
"67","20140310","dose",6,NA,"cisplatin","1000","water",3,"A","11","CB4856","median.norm.EXT",2.31196213425129
"68","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"A","11","CB4856","median.norm.EXT",1.9751135790005
"69","20140310","dose",6,NA,"cisplatin","1000","water",3,"A","11","CB4856","median.TOF",77.5
"70","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"A","11","CB4856","median.TOF",166
"71","20140310","dose",6,NA,"cisplatin","1000","water",3,"A","11","CB4856","norm.n",5.33333333333333
"72","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"A","11","CB4856","norm.n",78.6666666666667
"73","20140310","dose",6,NA,"cisplatin","0","water",3,"B","1","DL238","median.EXT",374
"74","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"B","1","DL238","median.EXT",548
"75","20140310","dose",6,NA,"cisplatin","0","water",3,"B","1","DL238","median.norm.EXT",1.87847985347985
"76","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"B","1","DL238","median.norm.EXT",2.02120141342756
"77","20140310","dose",6,NA,"cisplatin","0","water",3,"B","1","DL238","median.TOF",186
"78","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"B","1","DL238","median.TOF",261
"79","20140310","dose",6,NA,"cisplatin","0","water",3,"B","1","DL238","norm.n",228
"80","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"B","1","DL238","norm.n",145
"81","20140310","dose",6,NA,"cisplatin","125","water",3,"B","2","DL238","median.EXT",456
"82","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"B","2","DL238","median.EXT",550.5
"83","20140310","dose",6,NA,"cisplatin","125","water",3,"B","2","DL238","median.norm.EXT",2.06666666666667
"84","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"B","2","DL238","median.norm.EXT",2.01019525029426
"85","20140310","dose",6,NA,"cisplatin","125","water",3,"B","2","DL238","median.TOF",190
"86","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"B","2","DL238","median.TOF",266
"87","20140310","dose",6,NA,"cisplatin","125","water",3,"B","2","DL238","norm.n",201.666666666667
"88","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"B","2","DL238","norm.n",131.333333333333
"89","20140310","dose",6,NA,"cisplatin","250","water",3,"B","3","DL238","median.EXT",635
"90","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"B","3","DL238","median.EXT",561.5
"91","20140310","dose",6,NA,"cisplatin","250","water",3,"B","3","DL238","median.norm.EXT",2.31825724461713
"92","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"B","3","DL238","median.norm.EXT",2.1578320086456
"93","20140310","dose",6,NA,"cisplatin","250","water",3,"B","3","DL238","median.TOF",260
"94","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"B","3","DL238","median.TOF",271
"95","20140310","dose",6,NA,"cisplatin","250","water",3,"B","3","DL238","norm.n",142
"96","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"B","3","DL238","norm.n",93.3333333333333
"97","20140310","dose",6,NA,"cisplatin","500","water",3,"B","4","DL238","median.EXT",529.5
"98","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"B","4","DL238","median.EXT",503.5
"99","20140310","dose",6,NA,"cisplatin","500","water",3,"B","4","DL238","median.norm.EXT",2.12847377114404
"100","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"B","4","DL238","median.norm.EXT",2.01286764705882
"101","20140310","dose",6,NA,"cisplatin","500","water",3,"B","4","DL238","median.TOF",220.5
"102","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"B","4","DL238","median.TOF",254.5
"103","20140310","dose",6,NA,"cisplatin","500","water",3,"B","4","DL238","norm.n",96
"104","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"B","4","DL238","norm.n",80.6666666666667
"105","20140310","dose",6,NA,"cisplatin","1000","water",3,"B","5","DL238","median.EXT",355
"106","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"B","5","DL238","median.EXT",416
"107","20140310","dose",6,NA,"cisplatin","1000","water",3,"B","5","DL238","median.norm.EXT",2.46619373776908
"108","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"B","5","DL238","median.norm.EXT",2.03325942350333
"109","20140310","dose",6,NA,"cisplatin","1000","water",3,"B","5","DL238","median.TOF",113.5
"110","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"B","5","DL238","median.TOF",197
"111","20140310","dose",6,NA,"cisplatin","1000","water",3,"B","5","DL238","norm.n",21.3333333333333
"112","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"B","5","DL238","norm.n",64.3333333333333
"113","20140310","dose",6,NA,"cisplatin","0","water",3,"B","7","JU258","median.EXT",1162.5
"114","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"B","7","JU258","median.EXT",631.5
"115","20140310","dose",6,NA,"cisplatin","0","water",3,"B","7","JU258","median.norm.EXT",3.37676767676768
"116","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"B","7","JU258","median.norm.EXT",2.46060240963855
"117","20140310","dose",6,NA,"cisplatin","0","water",3,"B","7","JU258","median.TOF",340.5
"118","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"B","7","JU258","median.TOF",291
"119","20140310","dose",6,NA,"cisplatin","0","water",3,"B","7","JU258","norm.n",160
"120","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"B","7","JU258","norm.n",102
"121","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"B","8","JU258","median.EXT",554
"122","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"B","8","JU258","median.norm.EXT",2.16418367346939
"123","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"B","8","JU258","median.TOF",255.5
"124","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"B","8","JU258","norm.n",89.3333333333333
"125","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"B","9","JU258","median.EXT",528
"126","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"B","9","JU258","median.norm.EXT",2.1844374079067
"127","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"B","9","JU258","median.TOF",245
"128","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"B","9","JU258","norm.n",110
"129","20140310","dose",6,NA,"cisplatin","500","water",3,"B","10","JU258","median.EXT",233.5
"130","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"B","10","JU258","median.EXT",429
"131","20140310","dose",6,NA,"cisplatin","500","water",3,"B","10","JU258","median.norm.EXT",1.50869134170522
"132","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"B","10","JU258","median.norm.EXT",2.20789473684211
"133","20140310","dose",6,NA,"cisplatin","500","water",3,"B","10","JU258","median.TOF",125.5
"134","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"B","10","JU258","median.TOF",212
"135","20140310","dose",6,NA,"cisplatin","500","water",3,"B","10","JU258","norm.n",48
"136","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"B","10","JU258","norm.n",45.6666666666667
"137","20140310","dose",6,NA,"cisplatin","1000","water",3,"B","11","JU258","median.EXT",153
"138","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"B","11","JU258","median.EXT",406
"139","20140310","dose",6,NA,"cisplatin","1000","water",3,"B","11","JU258","median.norm.EXT",1.77777777777778
"140","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"B","11","JU258","median.norm.EXT",2.49180327868852
"141","20140310","dose",6,NA,"cisplatin","1000","water",3,"B","11","JU258","median.TOF",104
"142","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"B","11","JU258","median.TOF",180
"143","20140310","dose",6,NA,"cisplatin","1000","water",3,"B","11","JU258","norm.n",13
"144","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"B","11","JU258","norm.n",39
"145","20140310","dose",6,NA,"cisplatin","0","water",3,"C","1","DL238","median.EXT",453
"146","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"C","1","DL238","median.EXT",571
"147","20140310","dose",6,NA,"cisplatin","0","water",3,"C","1","DL238","median.norm.EXT",2.00177304964539
"148","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"C","1","DL238","median.norm.EXT",1.99447816334609
"149","20140310","dose",6,NA,"cisplatin","0","water",3,"C","1","DL238","median.TOF",190
"150","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"C","1","DL238","median.TOF",290.5
"151","20140310","dose",6,NA,"cisplatin","0","water",3,"C","1","DL238","norm.n",227.333333333333
"152","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"C","1","DL238","norm.n",126
"153","20140310","dose",6,NA,"cisplatin","125","water",3,"C","2","DL238","median.EXT",582
"154","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"C","2","DL238","median.EXT",582
"155","20140310","dose",6,NA,"cisplatin","125","water",3,"C","2","DL238","median.norm.EXT",2.26075757575758
"156","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"C","2","DL238","median.norm.EXT",2.05882352941176
"157","20140310","dose",6,NA,"cisplatin","125","water",3,"C","2","DL238","median.TOF",220
"158","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"C","2","DL238","median.TOF",286
"159","20140310","dose",6,NA,"cisplatin","125","water",3,"C","2","DL238","norm.n",134
"160","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"C","2","DL238","norm.n",115.666666666667
"161","20140310","dose",6,NA,"cisplatin","250","water",3,"C","3","DL238","median.EXT",651.5
"162","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"C","3","DL238","median.EXT",604
"163","20140310","dose",6,NA,"cisplatin","250","water",3,"C","3","DL238","median.norm.EXT",2.29968366943456
"164","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"C","3","DL238","median.norm.EXT",2.10778443113772
"165","20140310","dose",6,NA,"cisplatin","250","water",3,"C","3","DL238","median.TOF",254.5
"166","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"C","3","DL238","median.TOF",275
"167","20140310","dose",6,NA,"cisplatin","250","water",3,"C","3","DL238","norm.n",121.333333333333
"168","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"C","3","DL238","norm.n",87.6666666666667
"169","20140310","dose",6,NA,"cisplatin","500","water",3,"C","4","DL238","median.EXT",538.5
"170","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"C","4","DL238","median.EXT",587
"171","20140310","dose",6,NA,"cisplatin","500","water",3,"C","4","DL238","median.norm.EXT",2.08394173973658
"172","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"C","4","DL238","median.norm.EXT",2.05
"173","20140310","dose",6,NA,"cisplatin","500","water",3,"C","4","DL238","median.TOF",244.5
"174","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"C","4","DL238","median.TOF",283
"175","20140310","dose",6,NA,"cisplatin","500","water",3,"C","4","DL238","norm.n",84.6666666666667
"176","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"C","4","DL238","norm.n",87.6666666666667
"177","20140310","dose",6,NA,"cisplatin","1000","water",3,"C","5","DL238","median.EXT",157
"178","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"C","5","DL238","median.EXT",377
"179","20140310","dose",6,NA,"cisplatin","1000","water",3,"C","5","DL238","median.norm.EXT",1.57593201754386
"180","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"C","5","DL238","median.norm.EXT",1.94076655052265
"181","20140310","dose",6,NA,"cisplatin","1000","water",3,"C","5","DL238","median.TOF",98.5
"182","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"C","5","DL238","median.TOF",177
"183","20140310","dose",6,NA,"cisplatin","1000","water",3,"C","5","DL238","norm.n",31.3333333333333
"184","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"C","5","DL238","norm.n",78.3333333333333
"185","20140310","dose",6,NA,"cisplatin","0","water",3,"C","7","N2","median.EXT",544
"186","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"C","7","N2","median.EXT",576
"187","20140310","dose",6,NA,"cisplatin","0","water",3,"C","7","N2","median.norm.EXT",2.16742081447964
"188","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"C","7","N2","median.norm.EXT",2.14538043478261
"189","20140310","dose",6,NA,"cisplatin","0","water",3,"C","7","N2","median.TOF",215
"190","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"C","7","N2","median.TOF",287
"191","20140310","dose",6,NA,"cisplatin","0","water",3,"C","7","N2","norm.n",191.666666666667
"192","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"C","7","N2","norm.n",130.666666666667
"193","20140310","dose",6,NA,"cisplatin","125","water",3,"C","8","N2","median.EXT",659.5
"194","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"C","8","N2","median.EXT",539
"195","20140310","dose",6,NA,"cisplatin","125","water",3,"C","8","N2","median.norm.EXT",2.34983964891552
"196","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"C","8","N2","median.norm.EXT",2.04651162790698
"197","20140310","dose",6,NA,"cisplatin","125","water",3,"C","8","N2","median.TOF",270
"198","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"C","8","N2","median.TOF",263
"199","20140310","dose",6,NA,"cisplatin","125","water",3,"C","8","N2","norm.n",162
"200","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"C","8","N2","norm.n",115
"201","20140310","dose",6,NA,"cisplatin","250","water",3,"C","9","N2","median.EXT",647.5
"202","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"C","9","N2","median.EXT",414
"203","20140310","dose",6,NA,"cisplatin","250","water",3,"C","9","N2","median.norm.EXT",2.59057766367137
"204","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"C","9","N2","median.norm.EXT",1.85416666666667
"205","20140310","dose",6,NA,"cisplatin","250","water",3,"C","9","N2","median.TOF",256
"206","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"C","9","N2","median.TOF",224
"207","20140310","dose",6,NA,"cisplatin","250","water",3,"C","9","N2","norm.n",122
"208","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"C","9","N2","norm.n",81
"209","20140310","dose",6,NA,"cisplatin","500","water",3,"C","10","N2","median.EXT",357.5
"210","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"C","10","N2","median.EXT",340
"211","20140310","dose",6,NA,"cisplatin","500","water",3,"C","10","N2","median.norm.EXT",1.91458264154076
"212","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"C","10","N2","median.norm.EXT",1.71278640059128
"213","20140310","dose",6,NA,"cisplatin","500","water",3,"C","10","N2","median.TOF",182.5
"214","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"C","10","N2","median.TOF",189
"215","20140310","dose",6,NA,"cisplatin","500","water",3,"C","10","N2","norm.n",64
"216","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"C","10","N2","norm.n",48
"217","20140310","dose",6,NA,"cisplatin","1000","water",3,"C","11","N2","median.EXT",289.5
"218","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"C","11","N2","median.EXT",197
"219","20140310","dose",6,NA,"cisplatin","1000","water",3,"C","11","N2","median.norm.EXT",2.40593350130922
"220","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"C","11","N2","median.norm.EXT",1.56834457706279
"221","20140310","dose",6,NA,"cisplatin","1000","water",3,"C","11","N2","median.TOF",109
"222","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"C","11","N2","median.TOF",131.5
"223","20140310","dose",6,NA,"cisplatin","1000","water",3,"C","11","N2","norm.n",13.3333333333333
"224","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"C","11","N2","norm.n",28.6666666666667
"225","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"D","1","JU258","median.EXT",1073
"226","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"D","1","JU258","median.norm.EXT",2.82862903225806
"227","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"D","1","JU258","median.TOF",342
"228","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"D","1","JU258","norm.n",87.6666666666667
"229","20140310","dose",6,NA,"cisplatin","125","water",3,"D","2","JU258","median.EXT",782
"230","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"D","2","JU258","median.EXT",665
"231","20140310","dose",6,NA,"cisplatin","125","water",3,"D","2","JU258","median.norm.EXT",3.05150214592275
"232","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"D","2","JU258","median.norm.EXT",2.36450839328537
"233","20140310","dose",6,NA,"cisplatin","125","water",3,"D","2","JU258","median.TOF",274
"234","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"D","2","JU258","median.TOF",295
"235","20140310","dose",6,NA,"cisplatin","125","water",3,"D","2","JU258","norm.n",145
"236","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"D","2","JU258","norm.n",94.3333333333333
"237","20140310","dose",6,NA,"cisplatin","250","water",3,"D","3","JU258","median.EXT",562
"238","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"D","3","JU258","median.EXT",595.5
"239","20140310","dose",6,NA,"cisplatin","250","water",3,"D","3","JU258","median.norm.EXT",2.26187273246097
"240","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"D","3","JU258","median.norm.EXT",2.33004658385093
"241","20140310","dose",6,NA,"cisplatin","250","water",3,"D","3","JU258","median.TOF",231.5
"242","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"D","3","JU258","median.TOF",275
"243","20140310","dose",6,NA,"cisplatin","250","water",3,"D","3","JU258","norm.n",101.333333333333
"244","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"D","3","JU258","norm.n",78
"245","20140310","dose",6,NA,"cisplatin","500","water",3,"D","4","JU258","median.EXT",262.5
"246","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"D","4","JU258","median.EXT",493.5
"247","20140310","dose",6,NA,"cisplatin","500","water",3,"D","4","JU258","median.norm.EXT",1.87239710518137
"248","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"D","4","JU258","median.norm.EXT",2.27691916741747
"249","20140310","dose",6,NA,"cisplatin","500","water",3,"D","4","JU258","median.TOF",148
"250","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"D","4","JU258","median.TOF",228.5
"251","20140310","dose",6,NA,"cisplatin","500","water",3,"D","4","JU258","norm.n",106
"252","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"D","4","JU258","norm.n",55.3333333333333
"253","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"D","5","JU258","median.EXT",297
"254","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"D","5","JU258","median.norm.EXT",2.21974362196808
"255","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"D","5","JU258","median.TOF",125.5
"256","20141028","dose",9,NA,"amsacrine","200","DMSO",3,"D","5","JU258","norm.n",35.3333333333333
"257","20140310","dose",6,NA,"cisplatin","0","water",3,"D","7","CB4856","median.EXT",656
"258","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"D","7","CB4856","median.EXT",664
"259","20140310","dose",6,NA,"cisplatin","0","water",3,"D","7","CB4856","median.norm.EXT",2.30968978937729
"260","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"D","7","CB4856","median.norm.EXT",2.26136363636364
"261","20140310","dose",6,NA,"cisplatin","0","water",3,"D","7","CB4856","median.TOF",278
"262","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"D","7","CB4856","median.TOF",298
"263","20140310","dose",6,NA,"cisplatin","0","water",3,"D","7","CB4856","norm.n",194.666666666667
"264","20141028","dose",9,NA,"amsacrine","0","DMSO",3,"D","7","CB4856","norm.n",99.6666666666667
"265","20140310","dose",6,NA,"cisplatin","125","water",3,"D","8","CB4856","median.EXT",659
"266","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"D","8","CB4856","median.EXT",590
"267","20140310","dose",6,NA,"cisplatin","125","water",3,"D","8","CB4856","median.norm.EXT",2.3113120430935
"268","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"D","8","CB4856","median.norm.EXT",2.04878048780488
"269","20140310","dose",6,NA,"cisplatin","125","water",3,"D","8","CB4856","median.TOF",265.5
"270","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"D","8","CB4856","median.TOF",281
"271","20140310","dose",6,NA,"cisplatin","125","water",3,"D","8","CB4856","norm.n",204
"272","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"D","8","CB4856","norm.n",121
"273","20140310","dose",6,NA,"cisplatin","250","water",3,"D","9","CB4856","median.EXT",719
"274","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"D","9","CB4856","median.EXT",636.5
"275","20140310","dose",6,NA,"cisplatin","250","water",3,"D","9","CB4856","median.norm.EXT",2.73532828282828
"276","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"D","9","CB4856","median.norm.EXT",2.13249195984797
"277","20140310","dose",6,NA,"cisplatin","250","water",3,"D","9","CB4856","median.TOF",289.5
"278","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"D","9","CB4856","median.TOF",297
"279","20140310","dose",6,NA,"cisplatin","250","water",3,"D","9","CB4856","norm.n",159
"280","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"D","9","CB4856","norm.n",108
